symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00055,-0.986,0.05512448,0.05578,0.05524,7.3122,0.05523,23.0127,0.05524,35.8038,0.05579,0.056,0.05458,31221.7744,1721.084219,1.69753E+12,1.69762E+12,424008997,424048409,39413
LTCBTC,-0.000041,-1.85,0.0021872,0.002217,0.002175,0.57,0.002175,27.921,0.002176,148.402,0.002216,0.002222,0.002167,24041.635,52.58395457,1.69753E+12,1.69762E+12,93805464,93812561,7098
BNBBTC,0.000002,0.027,0.00744133,0.007462,0.007464,0.694,0.007464,3.678,0.007465,12.714,0.007462,0.007544,0.007381,23385.307,174.0178689,1.69753E+12,1.69762E+12,227837892,227865846,27955
NEOBTC,-0.0000018,-0.737,0.0002422,0.0002441,0.0002425,2.61,0.0002425,179.01,0.0002427,1.84,0.0002443,0.0002449,0.0002404,11341.63,2.74697885,1.69753E+12,1.69762E+12,45560363,45561190,828
QTUMETH,0.000003,0.215,0.00138828,0.001386,0.001399,1.8,0.001396,45.4,0.001403,210.1,0.001396,0.001411,0.001363,3751.3,5.2078645,1.69753E+12,1.69762E+12,5403960,5404017,58
EOSETH,-0.0000034,-0.977,0.00034482,0.0003492,0.0003447,871.1,0.0003442,935.5,0.0003453,256.9,0.0003481,0.0003496,0.0003408,14990.2,5.16897896,1.69753E+12,1.69762E+12,23502796,23502935,140
SNTETH,0.00000054,3.319,0.00001673,0.00001599,0.00001681,3599,0.00001659,19932,0.0000167,417,0.00001627,0.0000175,0.00001614,994876,16.64557423,1.69753E+12,1.69762E+12,3918253,3918526,274
BNTETH,0.0000043,1.152,0.00037006,0.0003746,0.0003777,151.8,0.0003782,48.5,0.000379,200.9,0.0003734,0.0003852,0.0003562,50771.3,18.78831971,1.69753E+12,1.69762E+12,2251925,2252635,711
BCCBTC,0,0,0,0.079081,0,0,0,0,0,0,0,0,0,0,0,1.68957E+12,1.68966E+12,-1,-1,0
GASBTC,-0.0000011,-1.345,0.00008149,0.0000817,0.0000807,4.2,0.0000807,47.1,0.0000809,4.5,0.0000818,0.0000824,0.0000798,5498.6,0.44805544,1.69753E+12,1.69762E+12,20855076,20855531,456
BNBETH,0.0015,1.122,0.13775424,0.1338,0.1352,0.281,0.1351,2.007,0.1352,4.123,0.1337,0.154,0.1335,21128.763,2910.576678,1.69753E+12,1.69762E+12,56494197,56508476,14280
BTCUSDT,78.39,0.275,28493.86261,28456.1,28534.49,0.22343,28534.49,6.44395,28534.5,13.37545,28456.1,28982.36,28135.35,35508.3908,1011771209,1.69753E+12,1.69762E+12,3242642498,3244021746,1379249
